Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Daniela Agote,25592f4e,,,"August 27, 2006",,https://fbref.com/en/players/25592f4e/,media/logos/silueta.jpg
Júlia Aguado,a097ef45,,,"May 2, 2000",,https://fbref.com/en/players/a097ef45/,media/logos/silueta.jpg
Teresa Abelleira,46f75f0c,160cm,,"January 9, 2000",Real Madrid,https://fbref.com/en/players/46f75f0c/,https://fbref.com/req/202302030/images/headshots/46f75f0c_2022.jpg
Yolanda Aguirre,150b2d3b,,,"October 23, 1998",,https://fbref.com/en/players/150b2d3b/,media/logos/silueta.jpg
Rasheedat Ajibade,77448ed7,160cm,53kg,"December 8, 1999",Atlético Madrid,https://fbref.com/en/players/77448ed7/,https://fbref.com/req/202302030/images/headshots/77448ed7_2022.jpg
Ainhoa Alguacil,450dbe8a,163cm,,"January 8, 2006",,https://fbref.com/en/players/450dbe8a/,media/logos/silueta.jpg
María Alharilla Casado,9581d587,163cm,,"November 13, 1990",Levante,https://fbref.com/en/players/9581d587/,media/logos/silueta.jpg
Amirah Ali,6385427b,173cm,,"December 7, 1998",,https://fbref.com/en/players/6385427b/,media/logos/silueta.jpg
Vitória Almeida,d63526aa,185cm,69kg,"August 26, 1999",,https://fbref.com/en/players/d63526aa/,media/logos/silueta.jpg
Eva Alonso,572ead98,165cm,,"July 23, 2002",,https://fbref.com/en/players/572ead98/,media/logos/silueta.jpg
Arene Altonaga,ce8ed076,159cm,53kg,"February 25, 1993",,https://fbref.com/en/players/ce8ed076/,media/logos/silueta.jpg
Oriana Altuve,5e7778bd,171cm,54kg,"October 3, 1992",,https://fbref.com/en/players/5e7778bd/,media/logos/silueta.jpg
Andrea Álvarez,7ed78edb,,,"January 13, 2003",,https://fbref.com/en/players/7ed78edb/,media/logos/silueta.jpg
Carmen Álvarez,66c60fdc,177cm,,"February 24, 2003",,https://fbref.com/en/players/66c60fdc/,media/logos/silueta.jpg
Isabel Álvarez,16dcd265,,,"June 12, 1999",,https://fbref.com/en/players/16dcd265/,media/logos/silueta.jpg
Bernadette Amani,9c1973d1,,,"September 5, 1997",,https://fbref.com/en/players/9c1973d1/,media/logos/silueta.jpg
Jone Amezaga,7403b395,165cm,,"January 2, 2005",,https://fbref.com/en/players/7403b395/,media/logos/silueta.jpg
Carla Andrés,3466f284,,,"December 12, 2002",,https://fbref.com/en/players/3466f284/,media/logos/silueta.jpg
Nataša Andonova,c9ef783a,169cm,,"December 4, 1993",Levante,https://fbref.com/en/players/c9ef783a/,https://fbref.com/req/202302030/images/headshots/c9ef783a_2022.jpg
Filippa Angeldahl,71c3bd53,170cm,68kg,"July 14, 1997",Real Madrid,https://fbref.com/en/players/71c3bd53/,https://fbref.com/req/202302030/images/headshots/71c3bd53_2022.jpg
Antônia,e73e06bc,167cm,60kg,"April 26, 1994",Real Madrid,https://fbref.com/en/players/e73e06bc/,https://fbref.com/req/202302030/images/headshots/e73e06bc_2022.jpg
Hildur Antonsdóttir,30722e68,,,"September 18, 1995",,https://fbref.com/en/players/30722e68/,https://fbref.com/req/202302030/images/headshots/30722e68_2022.jpg
Arola Aparicio,83f1bd99,,,"September 24, 1997",,https://fbref.com/en/players/83f1bd99/,media/logos/silueta.jpg
Nahia Aparicio,e9213624,,,"January 7, 2004",,https://fbref.com/en/players/e9213624/,media/logos/silueta.jpg
Floriangel Apóstol,a9c42892,156cm,57kg,"September 7, 2005",,https://fbref.com/en/players/a9c42892/,media/logos/silueta.jpg
Eider Arana,255fb820,,,"April 11, 2002",,https://fbref.com/en/players/255fb820/,media/logos/silueta.jpg
Paula Arana,008c802c,172cm,59kg,"November 8, 2001",,https://fbref.com/en/players/008c802c/,media/logos/silueta.jpg
Karen Araya,c464f93a,162cm,,"October 16, 1990",,https://fbref.com/en/players/c464f93a/,https://fbref.com/req/202302030/images/headshots/c464f93a_2022.jpg
Carla Armengol,25f540ad,,,"April 2, 1998",Barcelona,https://fbref.com/en/players/25f540ad/,https://fbref.com/req/202302030/images/headshots/25f540ad_2022.jpg
Iris Arnaiz Gil,aec17e23,,,"May 18, 1994",Real Sociedad,https://fbref.com/en/players/aec17e23/,media/logos/silueta.jpg
Daniela Arques,8f83b165,,,"March 21, 2006",,https://fbref.com/en/players/8f83b165/,media/logos/silueta.jpg
Julia Arrula,6d8746b6,,,"January 29, 2006",,https://fbref.com/en/players/6d8746b6/,media/logos/silueta.jpg
